site_no,date,TSS,PheoP,CHLA,site_name,lat,long,geometry,split_ID,LS_ID,Cloud_Cover,azimuth,cScore,time,dswe,dswe_sd,hillshade,hillshadow,hillshadow_sd,path,pixelCount,qa,qa_sd,row,sat,swir1_sd,zenith,date_time,month,year,hour,season,decade,count,max_year,min_year,n_years,rn,red_raw,green_raw,blue_raw,nir_raw,swir1_raw,swir2_raw,red,green,blue,nir,swir1,swir2,NR,BR,GR,SR,BG,RG,NG,SG,BN,GN,RN,SN,BS,GS,RS,NS,R.GN,R.GB,R.GS,R.BN,R.BS,R.NS,G.BR,G.BN,G.BS,G.RN,G.RB,G.NS,B.RG,B.RN,B.RS,B.GN,B.GS,B.NS,N.RG,N.RB,N.RS,N.GB,N.GS,N.BS,GR2,GN2,BR_G,NS_NR,fai,N_S,N_R,ndvi,ndwi,ndssi,gn.gn,hue,saturation,bright,bright_tot,dw,hexcolor,index
4015000,1984-06-19,15,1.899999976158142,5.210000038146973,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19840619,27,127.403664,0,09:57:37,1,0,132,1,0,197,50,66,0,28,LT05,43.24083717968467,31.159103000000002,1984-06-19T09:57:37Z,6,1984,9,Summer,1990,295,2020,1984,36,7143,505,594,423,879,244,119,449.0693587920772,535.0704421952871,409.3679424989246,802.9549884376191,184.87653408234905,88.93506245630945,1.7880422538679464,0.9115917941942356,1.1915095780182792,0.4116881512014905,0.7650729889308961,0.839271474143919,1.5006528582353666,0.3455181215464595,0.5098267628867568,0.6663766336845621,0.5592708996875048,0.23024520271314305,2.2142774610680496,2.8942042041795966,2.429023028915338,4.343195811318926,0.33562094449853663,0.4754882542575564,0.6237533784972807,0.3704205763436002,0.7556979938216706,0.4546011628040546,0.6233075396311366,0.4413596646084509,0.9004213977277189,0.4273642468528794,0.6233075396311366,0.5416616396592782,0.4159652338907698,0.32696484170193374,0.6457458705864876,0.305949298964585,0.5686084614390523,0.41441068964333394,0.8158952494676399,0.9353682409071192,1.266598612693703,0.8501930898304163,1.115297396746024,1.3512199441163852,492.06990049368216,669.0127153164531,-0.07419848521302282,2.339497505408636,399.252074292667,618.0784543552701,353.88562964554194,0.28265075709475646,0.48641624960154195,-0.3246552844089492,-0.20020886009290467,0.2806939448445704,0.23492701106910388,0.2979932315224969,2196.462731923908,556,#404C3A,1
4015000,1987-09-16,5,17.899999618530273,1.3799999952316284,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19870916,11,145.218781,0,09:56:08,1,0,191,1,0,197,77,66,0.22643630875507784,28,LT05,45.09286532952029,48.558147,1987-09-16T09:56:08Z,9,1987,9,Fall,1990,295,2020,1984,36,7153,455,578,434,775,324,157,402.090512765345,520.2535183091175,419.75719640415076,713.6621165064138,245.90585347650858,115.83267827613136,1.7748792718292712,1.0439370815225273,1.293871657729788,0.6115684047984892,0.8068320186827548,0.7728741827103534,1.371758366624595,0.47266543103010683,0.5881735721926586,0.7289913619850128,0.5634186030970741,0.3445690163298707,1.7069833453324048,2.115661384037844,1.6351400630801038,2.902176204498483,0.32586548173972774,0.4277509888682437,0.5248131492906299,0.3547588330154676,0.6040451138716985,0.4190328620207082,0.6330291032080028,0.4590123993680082,0.7815568528287531,0.46628034266760543,0.6330291032080028,0.5421747438259913,0.45509829549735875,0.3762099101465907,0.6477770837490832,0.34018305997630377,0.5478719074151066,0.43744394303993,0.7737482896431284,0.8683629686424421,1.1013366026192368,0.759206363646719,0.9314799802593798,1.0721071518606293,461.17201553723123,616.9578174077656,0.03395783597240142,2.9948924891840445,338.3911916997579,467.7562630299052,311.57160374106877,0.2792479224937418,0.3580817189421162,-0.2593081984349903,-0.1567437778890051,0.35825185380921565,0.22712581728964665,0.2897413404033626,2055.763343985027,539,#394A3C,2
4015000,1989-07-19,9,0.10000000149011612,28,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19890719,0,128.031769,0,09:56:33,1,0,145,1,0,197,135,68,0.7768954430888984,28,LT05,64.62564563758009,34.12785,1989-07-19T09:56:33Z,7,1989,9,Summer,1990,295,2020,1984,36,7162,361,403,284,404.3030663180413,191,128,316.2335986160987,359.5282575914993,276.34203431555204,371.57701625204635,146.27737873913654,95.17477699113584,1.1750080253272945,0.8738541240553815,1.1369072077251332,0.4625611553588092,0.7686239634313681,0.8795792595957991,1.0335126889365036,0.4068591985482788,0.7437005579702083,0.9675739937252358,0.8510580170049932,0.3936663796232067,1.8891645222079487,2.4578527499639113,2.1618763020087557,2.5402220046251816,0.4325418102287848,0.49732406536508594,0.6252077396966423,0.4880757840644872,0.7482704032225249,0.61066122383973,0.6067212987020819,0.5548968768190112,0.8507140147510804,0.5227140288615956,0.6067212987020819,0.69426514686164,0.4089340523988649,0.4017705286047781,0.5974821092804147,0.37797844469480385,0.5463403617252544,0.5336288288530546,0.5498638504655341,0.6270541608566362,0.8033906965340061,0.584359767992372,0.7346241116402928,0.8792237289013575,337.88092810379896,365.55263692177283,-0.11095529616443096,1.3256333759130023,84.52781902896135,225.2996375129098,55.343417635947674,0.0804631630271614,0.421606371173303,-0.14698592648736805,-0.01648019661683556,0.25340911285230205,0.23137603656863184,0.20022968726095558,1323.6809067751965,560,#2D3327,3
4015000,1991-05-22,4,1,19,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_19910522,14,130.335129,310.7098039215686,09:51:48,1,0,142,1,0,197,48,66,0,28,LT05,36.94045508953861,33.823536,1991-05-22T09:51:48Z,5,1991,9,Spring,1995,295,2020,1984,36,7173,395,513,356,704,225,122,346.91698264812067,460.2700254605351,345.6509330617147,651.0213445977157,170.87113839951485,91.00594844452746,1.8765911649186957,0.9963505690129614,1.3267440006746194,0.4925418672075508,0.750974241079168,0.753724908114544,1.414433503346909,0.37124107360357717,0.5309364062023221,0.7069968277997841,0.5328811190706664,0.2624662613867152,2.0228748769353087,2.69366746058878,2.030284259223415,3.81001350313216,0.3121746393386788,0.4304603062864049,0.5496662276413434,0.3480752805353582,0.6716401908377316,0.42209533463915333,0.664584678296553,0.46180679023342164,0.8910945938059169,0.46122091204855614,0.664584678296553,0.5600124529452425,0.42821667047345047,0.3463650243955061,0.6675528445155571,0.3110353795365086,0.5476602586776604,0.42055492684543677,0.8065309997037036,0.9400108347936719,1.2573122443993323,0.8077980076252632,1.0314987864459335,1.260394048130394,403.5935040543279,555.6456850291254,-0.0027506670353760385,2.7274157379151163,334.33445641652736,480.15020619820086,304.10436194959505,0.3047326208913917,0.458532739793204,-0.30638999235849934,-0.17164834018928982,0.33149238118491825,0.24902575892083198,0.2563351316832183,1803.859285768086,547,#314131,4
4015000,2005-10-27,3.600000023841858,1.0399999618530273,0.4300000071525574,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_2_LE07_197028_20051027,10,160.862442,0,10:18:33,1,0,223,1,0,197,38,68,0.8502891800739876,28,LE07,58.519239443464684,60.918312,2005-10-27T10:18:33Z,10,2005,10,Fall,2005,295,2020,1984,36,7308,291,350,276,409,156,105,291,350,276,409,156,105,1.4054982817869415,0.9484536082474226,1.2027491408934707,0.5360824742268041,0.7885714285714286,0.8314285714285714,1.1685714285714286,0.44571428571428573,0.6748166259168704,0.8557457212713936,0.7114914425427873,0.38141809290953543,1.7692307692307692,2.2435897435897436,1.8653846153846154,2.621794871794872,0.383399209486166,0.46485623003194887,0.575098814229249,0.4248175182481752,0.6736111111111112,0.5150442477876106,0.6172839506172839,0.5109489051094891,0.8101851851851852,0.5,0.6172839506172839,0.6194690265486725,0.43057722308892354,0.3942857142857143,0.6174496644295302,0.36363636363636365,0.5454545454545454,0.48849557522123893,0.6380655226209049,0.7213403880070547,0.9149888143176734,0.6533546325878594,0.808300395256917,0.9467592592592593,320.5,379.5,-0.04285714285714286,1.874074074074074,141.1818181818182,253,118,0.16857142857142857,0.383399209486166,-0.19416058394160585,-0.077733860342556,0.29954954954954954,0.2114285714285714,0.19492317797440198,1326,553,#293227,5
4015000,2008-07-23,2.5999999046325684,1,1,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_1_LT05_197028_20080723,0,135.807632,0,10:15:51,1,0,137,1,0,197,44,68,0.2980653874681719,28,LT05,34.94759949901856,32.390564,2008-07-23T10:15:51Z,7,2008,10,Summer,2010,295,2020,1984,36,7232,251,268,197,354,161,90,219.8464310234423,237.21150024886083,191.43703905117064,322.2910165660012,125.07621040058828,69.38147007242375,1.4659824817971923,0.8707761966386329,1.0789872691795797,0.5689253622100027,0.8070310202091056,0.9267949943101381,1.358665225875991,0.5272771778323126,0.5939881324987745,0.7360164821729769,0.682136391407672,0.388084693558234,1.530563153760775,1.8965357160177052,1.7576998081356028,2.5767571269850795,0.39293197870669977,0.5128827252798857,0.6068282874661639,0.4279432057868201,0.6945883984453863,0.49142274572531663,0.5767591393980096,0.4617452709758759,0.7494520392424052,0.43754863513597253,0.5767591393980096,0.5302388864228903,0.4188463342453574,0.3531153214048856,0.5550144179019769,0.3421558139559123,0.5284116281725212,0.42791922946440525,0.7051425968451003,0.7836225864062389,0.9343863749720993,0.7518770904767142,0.889599638884387,1.0182544241805045,228.52896563615155,279.751258407431,-0.11976397410103264,2.0809786541517683,118.71825979092776,197.2148061654129,102.44458554255888,0.1889642303774953,0.3095199935080742,-0.2547144857752181,-0.15206279464385852,0.2298935868424625,0.19296897979089458,0.13210862708738172,970.785986889475,563,#1F221B,6
4015000,2018-09-13,6.400000095367432,NA,NA,RG AMONT CONFLUENCE MALTAVERNE ET PT POUILLY SOUS CHARLIEU  RN487,6561350,784705.1,"c(784705.1, 6561350)",129,1_2_LE07_197028_20180913,17,154.329727,7.074509803921568,10:27:13,1,0,181,1,0,197,83,68,0.9835340545521979,28,LE07,54.80277257174404,45.088009,2018-09-13T10:27:13Z,9,2018,10,Fall,2020,295,2020,1984,36,7364,452,485,403,524.3333333333334,270.48,157,452,485,403,524.3333333333334,270.48,157,1.1600294985250739,0.8915929203539823,1.073008849557522,0.5984070796460177,0.8309278350515464,0.931958762886598,1.0810996563573885,0.5576907216494845,0.768595041322314,0.9249841068022886,0.8620470438652256,0.5158550540368723,1.4899438036083998,1.7931085477669328,1.6711032238982548,1.9385290348023267,0.4478203434610304,0.509009009009009,0.59829512363001,0.4874191229331416,0.6711409395973155,0.5686869873010014,0.5672514619883041,0.5230050323508267,0.7201401674882698,0.49675657220894504,0.5672514619883041,0.6102061700021808,0.43009605122732125,0.4127688630932059,0.557800907983612,0.39927344782034346,0.5334356965108276,0.5070372917750079,0.5595873354678051,0.6132553606237817,0.7257409663012586,0.5904654654654655,0.6940399922345176,0.7785432876007207,468.5,504.6666666666667,-0.10103092783505155,1.3984868517702367,103.50343434343438,253.85333333333335,72.33333333333337,0.0740867190167293,0.2839519246042251,-0.13084112149532715,-0.038969616908850764,0.23373983739837403,0.16907216494845365,0.27010783233595703,1864.3333333333335,563,#404539,7
4015600,2000-02-23,9.699999809265137,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_198028_20000223,6,152.894272,1,10:28:03,1,0,221,1,0,198,219,68,0.6876657752335079,28,LE07,94.06975244628838,59.896233,2000-02-23T10:28:03Z,2,2000,10,Winter,2000,390,2020,1984,36,12139,399,470.0000000000001,384,380.82108652575954,143,75,399,470.0000000000001,384,380.82108652575954,143,75,0.9544388133477683,0.9624060150375939,1.1779448621553887,0.3583959899749373,0.8170212765957445,0.8489361702127658,0.8102576309058712,0.3042553191489361,1.0083475248265314,1.2341753559074737,1.0477361000150678,0.3755044167973802,2.6853146853146854,3.2867132867132876,2.7902097902097904,2.6630845211591576,0.4689587579796305,0.4672131147540983,0.6508972267536703,0.5216906372344919,0.7571157495256167,0.7617104585200366,0.6002554278416349,0.6145228057649406,0.8918406072106264,0.6027023481680048,0.6002554278416349,0.8972529210637025,0.4418872266973532,0.49242064190747614,0.7084870848708487,0.45132872948415564,0.626427406199021,0.7330747269967269,0.4382290984185955,0.4863615409013532,0.702621930859335,0.44592633082641625,0.6212415767141264,0.7226206575441357,434.50000000000006,425.41054326287986,-0.03191489361702127,0.9289886192412482,25.7806824853555,237.82108652575954,-18.17891347424046,-0.02331164646397384,0.5334420880913541,0.004156414526540898,0.10481511904975638,0.3042635658914729,0.18297872340425556,0.26175398185133986,1633.8210865257597,552,#394337,8
4015600,2003-02-24,5.099999904632568,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_197028_20030224,21,151.688034,25.090196078431372,10:17:54,1,0,220,1,0,197,126,68,0.4259177100001149,28,LE07,162.663808166649,59.764633,2003-02-24T10:17:54Z,2,2003,10,Winter,2005,390,2020,1984,36,12075,627,627,491.5,577.3571428571429,254,150.99999999999997,627,627,491.5,577.3571428571429,254,150.99999999999997,0.9208247892458419,0.7838915470494418,1,0.405103668261563,0.7838915470494418,1,0.9208247892458419,0.405103668261563,0.851292836818013,1.0859829271310157,1.0859829271310157,0.4399356674502041,1.93503937007874,2.468503937007874,2.468503937007874,2.2730596175478066,0.5206096910029061,0.5605721949038891,0.7116912599318955,0.586607858861267,0.8410462776659959,0.7541885041670247,0.5605721949038891,0.586607858861267,0.8410462776659959,0.5206096910029061,0.5605721949038891,0.7541885041670247,0.3919457735247209,0.4081015360891999,0.55788876276958,0.4081015360891999,0.55788876276958,0.5912019932983933,0.46041239462292094,0.5161887732294528,0.6553429544348954,0.5161887732294528,0.6553429544348954,0.7744562613777906,627,602.1785714285714,-0.21610845295055822,0.8669092301800078,14.40764790764797,323.3571428571429,-49.64285714285711,-0.041219382005812204,0.42338251986379116,-0.0803261160117616,0.041219382005812204,0.16666666666666666,0.2161084529505582,0.3491909502570001,2322.857142857143,570,#595946,9
4015600,2003-12-16,15,NA,NA,PONT RD 130 AU L-D BONNAND,6584820,775924.1,"c(775924.1, 6584820)",142,1_2_LE07_198028_20031216,3,160.613495,58,10:24:13,1,0,243,1,0,198,163,68,0.15617082283853626,28,LE07,185.4487713396166,71.692566,2003-12-16T10:24:13Z,12,2003,10,Winter,2005,390,2020,1984,36,12149,752,784,572.5932203389831,439,231,185.5625,752,784,572.5932203389831,439,231,185.5625,0.5837765957446809,0.7614271547060946,1.0425531914893618,0.3071808510638298,0.7303484953303355,0.9591836734693877,0.5599489795918368,0.29464285714285715,1.3043125748040616,1.785876993166287,1.712984054669704,0.5261958997722096,2.4787585296059875,3.393939393939394,3.2554112554112553,1.9004329004329004,0.6148814390842191,0.5543297642399331,0.7408866995073892,0.7433818108705851,0.9357968446806715,1.1223880597014926,0.591879822395107,0.7750150794182695,0.9756179870075086,0.6582703610411419,0.591879822395107,1.1701492537313434,0.37278204449152547,0.48076676770695476,0.5824956463265342,0.4681874246434858,0.5641312515655006,0.8546167467746016,0.2858072916666667,0.3314225025911377,0.44659206510681587,0.32360474268793965,0.432512315270936,0.5462962962962963,768,611.5,-0.2288351781390522,0.39923224568138194,-223.53535353535358,208,-313,-0.26280436607892527,0.5448275862068965,0.13206219422290735,0.2820932134096484,0.19189449210294232,0.2696515046696644,0.43662791866266043,2547.593220338983,568,#6B6F51,10
